JH_Event_No,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,horizontalError,depthError,magError,magNst,Perception,Mecalli
1.97E+13,6.746,-72.971,160,5.6,mw,,,,,,,,,Not felt,I
1.97E+13,6.741,-73.002,159.4,5.7,mw,,,,,,,,,Not felt,I
1.97E+13,7.44,-72.1,18.6,5.8,mw,,,,,,,,,Not felt,II
1.97E+13,6.239,-77.476,15,5.8,mw,,,,,,,,,Felt by a few,III
1.97E+13,4.631,-76.028,84,5,mb,,,,,,,,,Not felt,I
1.97E+13,6.865,-72.889,171,4,mb,,,,,,,,,Not felt,I
1.97E+13,6.822,-73.003,162,5,mb,,,,,,,,,Not felt,I
1.97E+13,6.835,-73.042,156,5,mb,,,,,,,,,Not felt,I
1.97E+13,9.142,-74.256,85,4.7,mb,,,,,,,,,Not felt,I
1.97E+13,6.785,-72.997,157,5.3,mb,,,,,,,,,Not felt,I
1.97E+13,4.912,-78.324,33,4.5,mb,,,,,,,,,Not felt,I
1.97E+13,4.941,-78.297,33,4.7,mb,,,,,,,,,Not felt,I
1.97E+13,4.929,-78.18,33,4.6,mb,,,,,,,,,Not felt,I
1.97E+13,4.9,-78.463,33,4.6,mb,,,,,,,,,Not felt,I
1.97E+13,5.082,-78.168,33,5.2,mb,,,,,,,,,Not felt,I
1.97E+13,4.803,-78.831,33,4.5,mb,,,,,,,,,Not felt,I
1.97E+13,4.993,-77.96,23,5,mb,,,,,,,,,Not felt,II
1.97E+13,5.079,-72.754,68,4.8,mb,,,,,,,,,Not felt,I
1.97E+13,6.868,-72.978,163,4.5,mb,,,,,,,,,Not felt,I
1.97E+13,6.845,-72.926,157,3.8,mb,,,,,,,,,Not felt,I
1.97E+13,7.309,-72.867,187,4.3,mb,,,,,,,,,Not felt,I
1.97E+13,5.239,-78.11,33,5.3,mb,,,,,,,,,Not felt,I
1.97E+13,7.496,-77.245,15,4.9,mb,,,,,,,,,Not felt,II
1.97E+13,6.843,-73.076,151,5,mb,,,,,,,,,Not felt,I
1.97E+13,9.793,-78.64,33,4.7,mb,,,,,,,,,Not felt,I
1.97E+13,6.674,-77.34,85,4,mb,,,,,,,,,Not felt,I
1.97E+13,6.841,-73.037,160,5.1,mb,,,,,,,,,Not felt,I
1.97E+13,6.784,-72.898,167,4.1,mb,,,,,,,,,Not felt,I
1.97E+13,4.54,-73.986,71,4.4,mb,,,,,,,,,Not felt,I
1.97E+13,7.546,-77.652,23,5.2,mb,,,,,,,,,Not felt,II
1.97E+13,7.407,-77.856,33,5.1,mb,,,,,,,,,Not felt,I
1.97E+13,5.107,-76.716,40,4.2,mb,,,,,,,,,Not felt,I
1.97E+13,8.139,-77.566,33,4.6,mb,,,,,,,,,Not felt,I
1.97E+13,7.704,-77.717,5,5.7,ms,,,,,,,,,Some damage,VII
1.97E+13,7.814,-77.775,48,4.3,mb,,,,,,,,,Not felt,I
1.97E+13,7.748,-77.595,18,4.6,mb,,,,,,,,,Not felt,II
1.97E+13,7.745,-77.612,15,5.9,mb,,,,,,,,,Felt by a few,III
1.97E+13,7.861,-77.513,33,4.1,mb,,,,,,,,,Not felt,I
1.97E+13,7.741,-77.396,17,4.8,mb,,,,,,,,,Not felt,II
1.97E+13,7.766,-77.468,33,4.9,mb,,,,,,,,,Not felt,I
1.97E+13,7.802,-77.218,33,4.8,mb,,,,,,,,,Not felt,I
1.97E+13,7.689,-77.376,33,4.7,mb,,,,,,,,,Not felt,I
1.97E+13,7.223,-77.382,33,4.6,mb,,,,,,,,,Not felt,I
1.97E+13,8.221,-77.206,33,4.1,mb,,,,,,,,,Not felt,I
1.97E+13,2.691,-71.418,43,5.8,ms,,,,,,,,,Not felt,I
1.97E+13,7.737,-77.598,21,5,mb,,,,,,,,,Not felt,II
1.97E+13,8.059,-77.494,33,4.9,mb,,,,,,,,,Not felt,I
1.97E+13,7.335,-78.644,33,5.1,mb,,,,,,,,,Not felt,I
1.97E+13,6.19,-72.143,90,4.3,mb,,,,,,,,,Not felt,I
1.98E+13,7.086,-77.89,33,4.5,mb,,,,,,,,,Not felt,I
1.98E+13,7.137,-78.27,23,4.8,mb,,,,,,,,,Not felt,II
1.98E+13,2.852,-75.367,83,4,mb,,,,,,,,,Not felt,I
1.98E+13,4.616,-75.959,150,4.6,mb,,,,,,,,,Not felt,I
1.98E+13,8.721,-72.539,205,4.3,mb,,,,,,,,,Not felt,I
1.98E+13,-0.01,-77.905,71,4.1,mb,,,,,,,,,Not felt,I
1.98E+13,6.691,-72.92,156,4.2,mb,,,,,,,,,Not felt,I
1.98E+13,6.253,-76.918,44,5.4,mb,,,,,,,,,Not felt,I
1.98E+13,6.536,-76.911,33,4.4,mb,,,,,,,,,Not felt,I
1.98E+13,6.849,-72.858,187,3.6,mb,,,,,,,,,Not felt,I
1.98E+13,6.982,-77.685,33,4.1,mb,,,,,,,,,Not felt,I
1.98E+13,6.618,-72.889,166,4.5,mb,,,,,,,,,Not felt,I
1.98E+13,6.803,-73.033,157,4.9,mb,,,,,,,,,Not felt,I
1.98E+13,7.727,-77.902,22,5.1,mb,,,,,,,,,Not felt,II
1.98E+13,6.82,-73.007,170,4.7,mb,,,,,,,,,Not felt,I
1.98E+13,6.791,-73.093,163,3.5,mb,,,,,,,,,Not felt,I
1.98E+13,2.619,-71.077,50,4.8,mb,,,,,,,,,Not felt,I
1.98E+13,3.498,-76.388,132,4.5,mb,,,,,,,,,Not felt,I
1.98E+13,7.344,-78.292,33,4.6,mb,,,,,,,,,Not felt,I
1.98E+13,7.111,-78.272,33,4.9,mb,,,,,,,,,Not felt,I
1.98E+13,6.997,-78.175,33,5,mb,,,,,,,,,Not felt,I
1.98E+13,7.004,-78.091,33,4.6,mb,,,,,,,,,Not felt,I
1.98E+13,7.44,-78.559,33,5.2,mb,,,,,,,,,Not felt,I
1.98E+13,7.502,-78.116,33,4.5,mb,,,,,,,,,Not felt,I
1.98E+13,7.256,-77.82,33,4.8,mb,,,,,,,,,Not felt,I
1.98E+13,7.327,-77.848,33,4.5,mb,,,,,,,,,Not felt,I
1.98E+13,7.183,-78.011,33,4.5,mb,,,,,,,,,Not felt,I
1.98E+13,7.232,-78.302,33,5.3,mb,,,,,,,,,Not felt,I
1.98E+13,7.343,-78.366,33,4.8,mb,,,,,,,,,Not felt,I
1.98E+13,7.581,-78.165,33,4.8,mb,,,,,,,,,Not felt,I
1.98E+13,7.231,-78.182,33,5.1,mb,,,,,,,,,Not felt,I
1.98E+13,6.735,-72.976,170,4.7,mb,,,,,,,,,Not felt,I
1.98E+13,6.502,-76.861,62,4.6,mb,,,,,,,,,Not felt,I
1.98E+13,6.872,-77.558,22,4.5,mb,,,,,,,,,Not felt,II
1.98E+13,5.919,-77.377,17,5.1,mb,,,,,,,,,Not felt,II
1.98E+13,7.262,-72.314,117,5.1,mb,,,,,,,,,Not felt,I
1.98E+13,4.249,-75.528,197,4.8,mb,,,,,,,,,Not felt,I
1.98E+13,6.812,-72.909,165,4.9,mb,,,,,,,,,Not felt,I
1.98E+13,6.745,-73.023,163,5.1,mb,,,,,,,,,Not felt,I
